-0.8<=w<-0.6 : , 50, 2369
-0.6<=w<-0.4 : , 0, 403
-0.4<=w<-0.2 : , 0, 2132
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1809
0.4<=w<0.6 : , 3, 97
0.6<=w<0.8 : , 42, 1857
0.8<=w<=1 : , 2580, 155
epoch, 16
IH, 0.702766, HO, 0.828735
-1<=w<-0.8 : 6133, 319
-0.8<=w<-0.6 : , 52, 2363
-0.6<=w<-0.4 : , 0, 404
-0.4<=w<-0.2 : , 0, 2131
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 2, 1804
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1854
0.8<=w<=1 : , 2581, 155
epoch, 17
IH, 0.714373, HO, 0.833838
-1<=w<-0.8 : 6168, 320
-0.8<=w<-0.6 : , 52, 2359
-0.6<=w<-0.4 : , 0, 405
-0.4<=w<-0.2 : , 0, 2128
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1800
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 42, 1854
0.8<=w<=1 : , 2579, 155
epoch, 18
IH, 0.706329, HO, 0.843263
-1<=w<-0.8 : 6208, 309
-0.8<=w<-0.6 : , 52, 2352
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2127
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1801
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 43, 1851
0.8<=w<=1 : , 2581, 158
epoch, 19
IH, 0.71363, HO, 0.838909
-1<=w<-0.8 : 6223, 320
-0.8<=w<-0.6 : , 49, 2351
-0.6<=w<-0.4 : , 0, 408
-0.4<=w<-0.2 : , 0, 2126
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1800
0.4<=w<0.6 : , 2, 96
0.6<=w<0.8 : , 44, 1850
0.8<=w<=1 : , 2581, 151
epoch, 20
IH, 0.709163, HO, 0.843961
-1<=w<-0.8 : 6252, 318
-0.8<=w<-0.6 : , 53, 2351
-0.6<=w<-0.4 : , 0, 408
-0.4<=w<-0.2 : , 0, 2123
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1797
0.4<=w<0.6 : , 2, 96
0.6<=w<0.8 : , 41, 1850
0.8<=w<=1 : , 2585, 150
epoch, 21
IH, 0.710185, HO, 0.840648
-1<=w<-0.8 : 6278, 318
-0.8<=w<-0.6 : , 54, 2347
-0.6<=w<-0.4 : , 0, 409
-0.4<=w<-0.2 : , 0, 2119
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1797
0.4<=w<0.6 : , 2, 96
0.6<=w<0.8 : , 41, 1848
0.8<=w<=1 : , 2583, 150
epoch, 22
IH, 0.696404, HO, 0.834695
-1<=w<-0.8 : 6312, 315
-0.8<=w<-0.6 : , 54, 2335
-0.6<=w<-0.4 : , 0, 409
-0.4<=w<-0.2 : , 0, 2119
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1797
0.4<=w<0.6 : , 2, 96
0.6<=w<0.8 : , 42, 1845
0.8<=w<=1 : , 2587, 149
epoch, 23
IH, 0.707386, HO, 0.843981
-1<=w<-0.8 : 6324, 323
-0.8<=w<-0.6 : , 56, 2327
-0.6<=w<-0.4 : , 0, 409
-0.4<=w<-0.2 : , 0, 2119
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 1, 1796
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 41, 1847
0.8<=w<=1 : , 2585, 149
epoch, 24
IH, 0.712727, HO, 0.842204
-1<=w<-0.8 : 6351, 315
-0.8<=w<-0.6 : , 58, 2326
-0.6<=w<-0.4 : , 0, 410
-0.4<=w<-0.2 : , 0, 2117
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 1, 1795
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1848
0.8<=w<=1 : , 2584, 149
epoch, 25
IH, 0.691691, HO, 0.835076
-1<=w<-0.8 : 6372, 317
-0.8<=w<-0.6 : , 61, 2323
-0.6<=w<-0.4 : , 0, 410
-0.4<=w<-0.2 : , 0, 2114
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1795
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1847
0.8<=w<=1 : , 2584, 144
epoch, 26
IH, 0.708333, HO, 0.839363
-1<=w<-0.8 : 6404, 311
-0.8<=w<-0.6 : , 65, 2318
-0.6<=w<-0.4 : , 0, 411
-0.4<=w<-0.2 : , 0, 2113
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1792
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1846
0.8<=w<=1 : , 2588, 145
epoch, 27
IH, 0.719503, HO, 0.836447
-1<=w<-0.8 : 6441, 301
-0.8<=w<-0.6 : , 62, 2314
