-0.6<=w<-0.4 : , 24291, 0
-0.4<=w<-0.2 : , 101046, 0
-0.2<=w<0 : , 262907, 0
0<=w<-0.2 : , 279515, 0
0.2<=w<0.4 : , 85894, 0
0.4<=w<0.6 : , 14208, 0
0.6<=w<0.8 : , 6595, 0
0.8<=w<=1 : , 9545, 0
epoch, 17
-1<=w<-0.8 : 9004, 0
-0.8<=w<-0.6 : , 11473, 0
-0.6<=w<-0.4 : , 23825, 0
-0.4<=w<-0.2 : , 109497, 0
-0.2<=w<0 : , 261198, 0
0<=w<-0.2 : , 288542, 0
0.2<=w<0.4 : , 81606, 0
0.4<=w<0.6 : , 14812, 0
0.6<=w<0.8 : , 7420, 0
0.8<=w<=1 : , 9044, 0
epoch, 18
-1<=w<-0.8 : 9527, 0
-0.8<=w<-0.6 : , 10810, 0
-0.6<=w<-0.4 : , 24243, 0
-0.4<=w<-0.2 : , 94387, 0
-0.2<=w<0 : , 262084, 0
0<=w<-0.2 : , 280935, 0
0.2<=w<0.4 : , 86016, 0
0.4<=w<0.6 : , 14650, 0
0.6<=w<0.8 : , 6845, 0
0.8<=w<=1 : , 8688, 0
epoch, 19
-1<=w<-0.8 : 9429, 0
-0.8<=w<-0.6 : , 10514, 0
-0.6<=w<-0.4 : , 23174, 0
-0.4<=w<-0.2 : , 94756, 0
-0.2<=w<0 : , 264059, 0
0<=w<-0.2 : , 282475, 0
0.2<=w<0.4 : , 80896, 0
0.4<=w<0.6 : , 13925, 0
0.6<=w<0.8 : , 5824, 0
0.8<=w<=1 : , 9346, 0
epoch, 20
-1<=w<-0.8 : 8872, 0
-0.8<=w<-0.6 : , 10279, 0
-0.6<=w<-0.4 : , 24061, 0
-0.4<=w<-0.2 : , 93162, 0
-0.2<=w<0 : , 255247, 0
0<=w<-0.2 : , 282089, 0
0.2<=w<0.4 : , 82816, 0
0.4<=w<0.6 : , 12951, 0
0.6<=w<0.8 : , 6781, 0
0.8<=w<=1 : , 8792, 0
epoch, 21
-1<=w<-0.8 : 9381, 0
-0.8<=w<-0.6 : , 10744, 0
-0.6<=w<-0.4 : , 25514, 0
-0.4<=w<-0.2 : , 103488, 0
-0.2<=w<0 : , 267367, 0
0<=w<-0.2 : , 284983, 0
0.2<=w<0.4 : , 80807, 0
0.4<=w<0.6 : , 14048, 0
0.6<=w<0.8 : , 6424, 0
0.8<=w<=1 : , 9002, 0
epoch, 22
-1<=w<-0.8 : 9000, 0
-0.8<=w<-0.6 : , 10649, 0
-0.6<=w<-0.4 : , 23473, 0
-0.4<=w<-0.2 : , 106075, 0
-0.2<=w<0 : , 262610, 0
0<=w<-0.2 : , 280015, 0
0.2<=w<0.4 : , 83656, 0
0.4<=w<0.6 : , 13297, 0
0.6<=w<0.8 : , 4907, 0
0.8<=w<=1 : , 9612, 0
epoch, 23
-1<=w<-0.8 : 9198, 0
-0.8<=w<-0.6 : , 10851, 0
-0.6<=w<-0.4 : , 25152, 0
-0.4<=w<-0.2 : , 87409, 0
-0.2<=w<0 : , 262867, 0
0<=w<-0.2 : , 281923, 0
0.2<=w<0.4 : , 81513, 0
0.4<=w<0.6 : , 13550, 0
0.6<=w<0.8 : , 5924, 0
0.8<=w<=1 : , 8694, 0
epoch, 24
-1<=w<-0.8 : 8555, 0
-0.8<=w<-0.6 : , 10549, 0
-0.6<=w<-0.4 : , 23012, 0
-0.4<=w<-0.2 : , 99475, 0
-0.2<=w<0 : , 245888, 0
0<=w<-0.2 : , 268126, 0
0.2<=w<0.4 : , 79880, 0
0.4<=w<0.6 : , 13092, 0
0.6<=w<0.8 : , 5709, 0
0.8<=w<=1 : , 9011, 0
epoch, 25
-1<=w<-0.8 : 8645, 0
-0.8<=w<-0.6 : , 11072, 0
-0.6<=w<-0.4 : , 26526, 0
-0.4<=w<-0.2 : , 98564, 0
-0.2<=w<0 : , 252506, 0
0<=w<-0.2 : , 282111, 0
0.2<=w<0.4 : , 75503, 0
0.4<=w<0.6 : , 14528, 0
0.6<=w<0.8 : , 4914, 0
0.8<=w<=1 : , 8755, 0
epoch, 26
-1<=w<-0.8 : 8458, 0
-0.8<=w<-0.6 : , 10995, 0
-0.6<=w<-0.4 : , 27053, 0
-0.4<=w<-0.2 : , 95542, 0
-0.2<=w<0 : , 270027, 0
0<=w<-0.2 : , 290851, 0
0.2<=w<0.4 : , 83830, 0
0.4<=w<0.6 : , 12546, 0
0.6<=w<0.8 : , 4023, 0
0.8<=w<=1 : , 10435, 0
epoch, 27
-1<=w<-0.8 : 8470, 0
-0.8<=w<-0.6 : , 10740, 0
-0.6<=w<-0.4 : , 26616, 0
-0.4<=w<-0.2 : , 96945, 0
-0.2<=w<0 : , 249615, 0
0<=w<-0.2 : , 275045, 0
0.2<=w<0.4 : , 83171, 0
0.4<=w<0.6 : , 13380, 0
0.6<=w<0.8 : , 4173, 0
0.8<=w<=1 : , 9409, 0
epoch, 28
-1<=w<-0.8 : 9115, 0
-0.8<=w<-0.6 : , 11289, 0
-0.6<=w<-0.4 : , 21619, 0
-0.4<=w<-0.2 : , 92751, 0
-0.2<=w<0 : , 264332, 0
0<=w<-0.2 : , 281416, 0
0.2<=w<0.4 : , 84394, 0
0.4<=w<0.6 : , 13967, 0
0.6<=w<0.8 : , 4888, 0
0.8<=w<=1 : , 8577, 0
epoch, 29
-1<=w<-0.8 : 8676, 0
-0.8<=w<-0.6 : , 10060, 0
-0.6<=w<-0.4 : , 25248, 0
-0.4<=w<-0.2 : , 99046, 0
-0.2<=w<0 : , 250146, 0
0<=w<-0.2 : , 278249, 0
0.2<=w<0.4 : , 78303, 0
0.4<=w<0.6 : , 10777, 0
0.6<=w<0.8 : , 4745, 0
0.8<=w<=1 : , 9118, 0
epoch, 30
-1<=w<-0.8 : 8603, 0
-0.8<=w<-0.6 : , 11013, 0
-0.6<=w<-0.4 : , 24311, 0
-0.4<=w<-0.2 : , 102983, 0
-0.2<=w<0 : , 254182, 0
0<=w<-0.2 : , 290526, 0
0.2<=w<0.4 : , 78999, 0
0.4<=w<0.6 : , 12609, 0
0.6<=w<0.8 : , 5516, 0
0.8<=w<=1 : , 8453, 0
epoch, 31
-1<=w<-0.8 : 8370, 0
-0.8<=w<-0.6 : , 9893, 0
-0.6<=w<-0.4 : , 23232, 0
-0.4<=w<-0.2 : , 96169, 0
-0.2<=w<0 : , 250827, 0
0<=w<-0.2 : , 274725, 0
0.2<=w<0.4 : , 80809, 0
0.4<=w<0.6 : , 11596, 0
0.6<=w<0.8 : , 5314, 0
0.8<=w<=1 : , 8115, 0
epoch, 32
-1<=w<-0.8 : 7964, 0
-0.8<=w<-0.6 : , 10333, 0
-0.6<=w<-0.4 : , 22993, 0
-0.4<=w<-0.2 : , 99528, 0
-0.2<=w<0 : , 244515, 0
0<=w<-0.2 : , 281818, 0
0.2<=w<0.4 : , 77341, 0
0.4<=w<0.6 : , 12345, 0
0.6<=w<0.8 : , 4342, 0
0.8<=w<=1 : , 8659, 0
epoch, 33
-1<=w<-0.8 : 8539, 0
-0.8<=w<-0.6 : , 9616, 0
-0.6<=w<-0.4 : , 19508, 0
-0.4<=w<-0.2 : , 97138, 0
-0.2<=w<0 : , 252528, 0
0<=w<-0.2 : , 280188, 0
0.2<=w<0.4 : , 77855, 0
0.4<=w<0.6 : , 12175, 0
0.6<=w<0.8 : , 5095, 0
0.8<=w<=1 : , 8320, 0
epoch, 34
-1<=w<-0.8 : 8176, 0
-0.8<=w<-0.6 : , 9890, 0
-0.6<=w<-0.4 : , 18087, 0
-0.4<=w<-0.2 : , 98872, 0
-0.2<=w<0 : , 221358, 0
0<=w<-0.2 : , 262056, 0
0.2<=w<0.4 : , 69304, 0
0.4<=w<0.6 : , 10501, 0
0.6<=w<0.8 : , 3971, 0
0.8<=w<=1 : , 8658, 0
epoch, 35
-1<=w<-0.8 : 8264, 0
-0.8<=w<-0.6 : , 10134, 0
-0.6<=w<-0.4 : , 20188, 0
-0.4<=w<-0.2 : , 95672, 0
-0.2<=w<0 : , 246937, 0
0<=w<-0.2 : , 280696, 0
0.2<=w<0.4 : , 75677, 0
0.4<=w<0.6 : , 11212, 0
