param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 21, 91.14, 87.9038, 4.01294, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 22, 87.7, 87.8945, 3.92091, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 23, 89.15, 87.9491, 3.84326, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 24, 90.77, 88.0667, 3.80433, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 25, 88.6, 88.088, 3.72894, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 26, 89.38, 89.38, 0, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 27, 87.04, 88.21, 1.17, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 28, 87.85, 88.09, 0.970258, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 29, 89.91, 88.545, 1.15201, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 30, 88.46, 88.528, 1.03095, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 31, 90.45, 88.8483, 1.1827, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 32, 90.69, 89.1114, 1.27054, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 33, 90.34, 89.265, 1.25602, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
