epoch, 1
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 4987
-0.8<=w<-0.6 : , 0, 0, 4800
-0.6<=w<-0.4 : , 0, 0, 2590
-0.4<=w<-0.2 : , 0, 0, 4994
-0.2<=w<0 : , 0, 0, 3978
0<=w<-0.2 : , 0, 0, 3525
0.2<=w<0.4 : , 0, 0, 4984
0.4<=w<0.6 : , 0, 0, 3118
0.6<=w<0.8 : , 0, 0, 4201
0.8<=w<=1 : , 0, 0, 3823
epoch, 2
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 4303
-0.8<=w<-0.6 : , 0, 0, 4454
-0.6<=w<-0.4 : , 0, 0, 3249
-0.4<=w<-0.2 : , 0, 0, 5114
-0.2<=w<0 : , 0, 0, 4557
0<=w<-0.2 : , 0, 0, 4132
0.2<=w<0.4 : , 0, 0, 5205
0.4<=w<0.6 : , 0, 0, 3512
0.6<=w<0.8 : , 0, 0, 3566
0.8<=w<=1 : , 0, 0, 2908
epoch, 3
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 4044
-0.8<=w<-0.6 : , 0, 0, 4168
-0.6<=w<-0.4 : , 0, 0, 3329
-0.4<=w<-0.2 : , 0, 0, 5393
-0.2<=w<0 : , 0, 0, 5004
0<=w<-0.2 : , 0, 0, 4731
0.2<=w<0.4 : , 0, 0, 5388
0.4<=w<0.6 : , 0, 0, 3376
0.6<=w<0.8 : , 0, 0, 3156
0.8<=w<=1 : , 0, 0, 2411
epoch, 4
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3824
-0.8<=w<-0.6 : , 0, 0, 3884
-0.6<=w<-0.4 : , 0, 0, 3486
-0.4<=w<-0.2 : , 0, 0, 5453
-0.2<=w<0 : , 0, 0, 5688
0<=w<-0.2 : , 0, 0, 5410
0.2<=w<0.4 : , 0, 0, 5323
0.4<=w<0.6 : , 0, 0, 3262
0.6<=w<0.8 : , 0, 0, 2635
0.8<=w<=1 : , 0, 0, 2035
epoch, 5
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3673
-0.8<=w<-0.6 : , 0, 0, 3723
