param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 22, 92.5, 86.8877, 11.0486, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 23, 92.7, 87.1404, 10.8706, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 24, 92.33, 87.3567, 10.6921, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 25, 91.3, 87.5144, 10.5045, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 26, 92.51, 92.51, 0, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 27, 92.93, 92.72, 0.21, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 28, 92.87, 92.77, 0.185472, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 29, 92.27, 92.645, 0.269583, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 30, 92.6, 92.636, 0.241793, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 31, 92.73, 92.6517, 0.223489, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
