param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, LAp, LAd, pLAd,nLA, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 36, 57.22
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 37, 57.57
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 38, 57.7
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 39, 65.78
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 40, 65.98
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 41, 66.39
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 42, 66.18
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 43, 66.39
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 44, 66.47
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 45, 66.31
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 46, 66.79
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 47, 66.49
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 48, 66.72
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 49, 66.59
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 50, 66.69
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 51, 66.66
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 52, 66.71
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 53, 66.97
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 54, 66.86
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 55, 67.2
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 56, 66.7
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 57, 66.87
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 58, 67.32
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 59, 67.06
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 60, 67.2
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 61, 67.18
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 62, 66.8
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 63, 67.1
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 64, 66.89
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 65, 67.12
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 66, 67.17
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 67, 67
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 68, 67.11
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 69, 67.16
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 70, 67.16
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 71, 67.18
