epoch, 1
-1<=w<-0.8 : , 38.1123, 0.824272, 0.731986
-0.8<=w<-0.6 : , 0.813466, 11.4107, 3.97679
-0.6<=w<-0.4 : , 0, 2.17255, 3.00396
-0.4<=w<-0.2 : , 0, 7.84279, 9.66643
-0.2<=w<0 : , 0, 1.49207, 32.1474
0<=w<-0.2 : , 0, 0.307842, 32.8026
0.2<=w<0.4 : , 0, 6.57841, 9.59105
0.4<=w<0.6 : , 0.0361522, 0.426286, 2.54493
0.6<=w<0.8 : , 0.601052, 8.56033, 2.64251
0.8<=w<=1 : , 21.6759, 0.73151, 32.8026
epoch, 2
-1<=w<-0.8 : , 32.4702, 0.481706, 0.731177
-0.8<=w<-0.6 : , 0.763575, 11.0743, 1.95581
-0.6<=w<-0.4 : , 0, 1.92829, 1.40541
-0.4<=w<-0.2 : , 0, 8.43035, 7.08624
-0.2<=w<0 : , 0, 1.36538, 40.6372
0<=w<-0.2 : , 0, 0.343213, 40.2791
0.2<=w<0.4 : , 0, 7.28678, 6.23192
0.4<=w<0.6 : , 0.00309098, 0.466224, 1.19094
0.6<=w<0.8 : , 0.521362, 9.01068, 1.22293
0.8<=w<=1 : , 18.6967, 0.471065, 40.2791
epoch, 3
-1<=w<-0.8 : , 27.6817, 0.372894, 0.542406
-0.8<=w<-0.6 : , 0.425281, 9.55741, 1.1218
-0.6<=w<-0.4 : , 0, 1.55877, 0.918994
-0.4<=w<-0.2 : , 0, 7.73472, 5.87225
-0.2<=w<0 : , 0, 1.08253, 37.9122
0<=w<-0.2 : , 0, 0.361831, 38.2535
0.2<=w<0.4 : , 0, 6.79448, 4.70049
0.4<=w<0.6 : , 0.000720212, 0.376772, 0.771728
0.6<=w<0.8 : , 0.373714, 8.08926, 0.671762
0.8<=w<=1 : , 15.1469, 0.265038, 38.2535
epoch, 4
-1<=w<-0.8 : , 26.0292, 0.401047, 0.386086
-0.8<=w<-0.6 : , 0.365937, 8.82332, 0.851091
-0.6<=w<-0.4 : , 0, 1.52223, 0.746903
-0.4<=w<-0.2 : , 0, 7.49262, 4.62094
-0.2<=w<0 : , 0, 1.05494, 36.3764
0<=w<-0.2 : , 0, 0.386823, 38.4791
0.2<=w<0.4 : , 0, 6.61195, 3.44209
0.4<=w<0.6 : , 0.0535403, 0.361159, 0.439573
0.6<=w<0.8 : , 0.307268, 7.63746, 0.549566
0.8<=w<=1 : , 13.8873, 0.284979, 38.4791
epoch, 5
